title;price;square_meters;price_per_m2;location;link;first_photo;processing_date;bathrooms;rooms
Gran Lote En Venta En Monte Grande;50000.0;510;98.03921568627452;Av. Julio Argentino Roca 656 - Mon...;https://terreno.mercadolibre.com.ar/MLA-935025587-gran-lote-en-venta-en-monte-grande-_JM#position=41&search_layout=grid&type=item&tracking_id=5a04b11b-320f-4e9d-a533-bc33b993a718;https://http2.mlstatic.com/D_NQ_NP_780580-MLA71213571710_082023-W.jpg;2023-10-19;;
Venta Lote 500 M2 C/vivienda A Refac. Monte Grande;50000.0;500;100.0;Garay 500, Monte Grande, Esteban E...;https://terreno.mercadolibre.com.ar/MLA-1391077897-venta-lote-500-m2-cvivienda-a-refac-monte-grande-_JM#position=3&search_layout=grid&type=item&tracking_id=65b5ac88-9222-4f99-a0fe-056526864fad;https://http2.mlstatic.com/D_NQ_NP_747514-MLA72065616579_102023-W.jpg;2023-10-19;;
Venta Lote Apto Logística Industrial Cervetti, Monte Grande;1050000.0;10500;100.0;Cervetti Al 1100, Monte Grande, Es...;https://terreno.mercadolibre.com.ar/MLA-798868427-venta-lote-apto-logistica-industrial-cervetti-monte-grande-_JM#position=45&search_layout=grid&type=item&tracking_id=fac566de-1663-4a21-9268-328fe6c78876;https://http2.mlstatic.com/D_NQ_NP_781946-MLA47217318639_082021-W.jpg;2023-10-19;;
Monte Grande - Av. La Horqueta;6900000.0;69000;100.0;Monte Grande - Av. La Horqueta, Mo...;https://terreno.mercadolibre.com.ar/MLA-1224444906-monte-grande-av-la-horqueta-_JM#position=10&search_layout=grid&type=item&tracking_id=8c17b2a8-e3fa-4266-9fd1-0f7d162cca88;https://http2.mlstatic.com/D_NQ_NP_836772-MLA52285276533_112022-W.jpg;2023-10-19;;
Lote En Venta En Monte Grande - Gral Rodriguez 2300;40000.0;400;100.0;General Rodriguez 2300, Monte Gran...;https://terreno.mercadolibre.com.ar/MLA-1361414894-lote-en-venta-en-monte-grande-gral-rodriguez-2300-_JM#position=15&search_layout=grid&type=item&tracking_id=c165c15f-9b89-4557-aa83-c463359173f8;https://http2.mlstatic.com/D_NQ_NP_952032-MLA54109956916_032023-W.jpg;2023-10-19;;
2 Lotes A La Venta En Block En Esquina - Monte Grande;82000.0;800;102.5;General Rodriguez 2300, Monte Gran...;https://terreno.mercadolibre.com.ar/MLA-927376529-2-lotes-a-la-venta-en-block-en-esquina-monte-grande-_JM#position=20&search_layout=grid&type=item&tracking_id=8c17b2a8-e3fa-4266-9fd1-0f7d162cca88;https://http2.mlstatic.com/D_NQ_NP_803761-MLA54109801500_032023-W.jpg;2023-10-19;;
Terreno En Venta De 363m2 Ubicado En Monte Grande;38000.0;363;104.6831955922865;Fraga 800 Monte Grande, Monte Gran...;https://terreno.mercadolibre.com.ar/MLA-1332801877-terreno-en-venta-de-363m2-ubicado-en-monte-grande-_JM#position=13&search_layout=grid&type=item&tracking_id=c112ea19-8061-4548-be78-cfd9dfc8ba6b;https://http2.mlstatic.com/D_NQ_NP_989867-MLA53588261767_022023-W.jpg;2023-10-19;;
Lote En Venta En Esquina - Monte Grande;42000.0;400;105.0;General Rodriguez 2300, Monte Gran...;https://terreno.mercadolibre.com.ar/MLA-1361089361-lote-en-venta-en-esquina-monte-grande-_JM#position=25&search_layout=grid&type=item&tracking_id=c165c15f-9b89-4557-aa83-c463359173f8;https://http2.mlstatic.com/D_NQ_NP_662496-MLA54109926783_032023-W.jpg;2023-10-19;;
Terreno En Esquina Con Frente Sobre Avenida Y Calle Lateral  - Ideal Deposito, Taller, Fabrica, Estacion De Servicio;300000.0;2846;105.41110330288123;Av. Pedro Dreyer 800, Monte Grande...;https://terreno.mercadolibre.com.ar/MLA-1528758934-terreno-en-esquina-con-frente-sobre-avenida-y-calle-lateral-ideal-deposito-taller-fabrica-estacion-de-servicio-_JM#position=16&search_layout=grid&type=item&tracking_id=f42d0df7-28ac-4f8b-9dac-9cc0032a053c;https://http2.mlstatic.com/D_NQ_NP_705256-MLA69718349525_052023-W.jpg;2023-10-19;;
Monte Grande - Calle 25 De Mayo Al 200 - Terreno En Venta De 720m;80000.0;730;109.58904109589041;25 De Mayo Al 200, Monte Grande, E...;https://terreno.mercadolibre.com.ar/MLA-1460198672-monte-grande-calle-25-de-mayo-al-200-terreno-en-venta-de-720m-_JM#position=48&search_layout=grid&type=item&tracking_id=65b5ac88-9222-4f99-a0fe-056526864fad;https://http2.mlstatic.com/D_NQ_NP_719247-MLA70695445602_072023-W.jpg;2023-10-19;;
